DyadID,ParticipantID,TrialNum,ClickPresence
27231201,2,12,4
27231201,2,13,4
27231201,2,14,4
27231201,2,15,4
27231201,2,16,4
27231201,2,17,4
27231201,2,18,4
28231204,1,1,3
28231204,1,2,3
28231204,1,3,0
28231204,1,4,1
28231204,1,5,4
28231204,1,6,4
28231204,1,7,4
28231204,1,8,3
28231204,1,9,2
28231204,1,10,0
28231204,1,11,2
28231204,1,12,3
28231204,1,13,0
28231204,1,14,1
28231204,1,15,3
28231204,1,16,4
28231204,1,17,4
28231204,1,18,4
28231204,2,1,2
28231204,2,2,0
28231204,2,3,2
28231204,2,4,0
28231204,2,5,2
28231204,2,6,0
28231204,2,7,0
28231204,2,8,2
28231204,2,9,2
28231204,2,10,0
28231204,2,11,0
28231204,2,12,3
28231204,2,13,0
28231204,2,14,2
28231204,2,15,2
28231204,2,16,3
28231204,2,17,3
28231204,2,18,3
29231208,1,1,2
29231208,1,2,3
29231208,1,3,3
29231208,1,4,2
29231208,1,5,3
29231208,1,6,0
29231208,1,7,4
29231208,1,8,2
29231208,1,9,2
29231208,1,10,2
29231208,1,11,2
29231208,1,12,4
29231208,1,13,3
29231208,1,14,4
29231208,1,15,3
29231208,1,16,3
29231208,1,17,3
29231208,1,18,4
29231208,2,1,2
29231208,2,2,3
29231208,2,3,2
29231208,2,4,2
29231208,2,5,3
