DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
3,1,10,FrontoParietal,0.220543,0.224825
3,1,11,Frontal,0.215143,0.220423
3,1,11,Central,0.341839,0.349101
3,1,11,Parietal,0.229035,0.251227
3,1,11,Left,0.238153,0.242135
3,1,11,Right,0.226443,0.253622
3,1,11,FrontoParietal,0.232448,0.241093
3,1,12,Frontal,0.208956,0.205482
3,1,12,Central,0.348774,0.359165
3,1,12,Parietal,0.259622,0.243587
3,1,12,Left,0.234325,0.230786
3,1,12,Right,0.254585,0.239625
3,1,12,FrontoParietal,0.242718,0.229887
3,1,13,Frontal,0.208277,0.213992
3,1,13,Central,0.327339,0.334079
3,1,13,Parietal,0.240318,0.228674
3,1,13,Left,0.234033,0.247478
3,1,13,Right,0.227189,0.240002
3,1,13,FrontoParietal,0.232249,0.231376
3,1,14,Frontal,0.205102,0.213940
3,1,14,Central,0.356557,0.367295
3,1,14,Parietal,0.225131,0.234841
3,1,14,Left,0.211277,0.224868
3,1,14,Right,0.235778,0.246786
3,1,14,FrontoParietal,0.214829,0.236624
3,1,15,Frontal,0.212480,0.219324
3,1,15,Central,0.363630,0.367147
3,1,15,Parietal,0.254466,0.222776
3,1,15,Left,0.219340,0.245557
3,1,15,Right,0.255952,0.229185
3,1,15,FrontoParietal,0.228299,0.228165
3,1,16,Frontal,0.200570,0.216124
3,1,16,Central,0.329013,0.324572
3,1,16,Parietal,0.238683,0.229702
3,1,16,Left,0.218389,0.242453
3,1,16,Right,0.250941,0.247155
3,1,16,FrontoParietal,0.221151,0.231274
3,1,17,Frontal,0.211045,0.235359
3,1,17,Central,0.317475,0.374729
3,1,17,Parietal,0.246831,0.280133
3,1,17,Left,0.228078,0.269636
3,1,17,Right,0.235553,0.296344
3,1,17,FrontoParietal,0.225078,0.267558
3,1,18,Frontal,0.209759,0.209584
3,1,18,Central,0.342126,0.344000
3,1,18,Parietal,0.276026,0.251789
3,1,18,Left,0.242242,0.224752
3,1,18,Right,0.262710,0.269308
3,1,18,FrontoParietal,0.233760,0.229556
3,2,1,Frontal,0.369571,0.311819
3,2,1,Central,0.198418,0.222045
3,2,1,Parietal,0.232005,0.182129
3,2,1,Left,0.379261,0.290035
3,2,1,Right,0.206242,0.199924
3,2,1,FrontoParietal,0.272714,0.221980
3,2,2,Frontal,0.344877,0.401448
